city,state,city_alt
Sunriver,OR,
Lexington,OR,
Garden City,ID,
Adna,WA,Chehalis
Birkenfeld,OR,Clatskanie
Bayview,ID,Coeur d'Alene
Ponderay,ID,
Coeur d Alene,ID,Coeur d'Alene
Coeur D'Alene,ID,Coeur d'Alene
Saint John,WA,Colfax
Seven Bays,WA,Davenport
Ola,ID,Emmett
Sweet,ID,Emmett
Fall Creek,OR,Eugene
Jasper,OR,
Noti,OR,Eugene
Pleasant Hill,OR,Eugene
Vida,OR,Eugene
Walton,OR,Eugene
Dunes City,OR,
Gales Creek,OR,Forest Grove
Rogue River,OR,
Husum,OR,Hood River
Ariel,WA,Kelso
Gilchrist,OR,
LaPine,OR,La Pine
Otis Orchards,WA,Otis Orchards-East Farms
Deer Island,OR,
Rainier,OR,
Colton,OR,Molalla
Harvard,ID,Moscow
George,WA,
Mt. Angel,OR,Mount Angel
Otter Rock,OR,Newport
Seal Rock,OR,Newport
Bewster,WA,Brewster
Carlton,WA,Omak
Eltopia,WA,Pasco
Paco,WA,Pasco
Wallula,WA,
Weston,WA,Pasco
Athena,OR,
Helix,OR,
Sixes,OR,Port Orford
Powell Butte,OR,Redmond
Days Creek,OR,
Cocolalla,ID,Sandpoint
Sagle,ID,Sandpoint
Chattaroy,WA,Spokane
Colbert,WA,Spokane
Edwall,WA,Spokane
Elk,WA,Spokane
Nine Mile Falls,WA,Spokane
Valleyford,WA,Spokane Valley
Ford,WA,Springdale
Moro,OR,
Roosevelt,WA,
Rufus,OR,
Wasco,OR,
Pacific City,OR,
Silver Creek,WA,Toledo
Plymouth,OR,Umatilla
Battleground,WA,Battle Ground
Warren,WA,Vancouver
Prescott,WA,
Cambridge,ID,
Dryden,WA,Wenatchee
East Wenatchee,WA,Wenatchee
Eniat,WA,Wenatchee
Monitor,WA,Wenatchee
Orondo,WA,Wenatchee
Grand Ronde,OR,
Grande Ronde,OR,Grand Ronde
Tenmile,OR,Winston
Adams,OR,
Albany,OR,
Amity,OR,
Ashland,OR,
Athol,ID,
Aumsville,OR,
Aurora,OR,
Bandon,OR,
Beavercreek,OR,
Bend,OR,
Benton City,WA,
Blanchard,ID,
Blodgett,OR,
Blue River,OR,
Bly,OR,
Boardman,OR,
Boise,ID,
Bozeman,MT,
Brewster,WA,
Bridgeport,WA,
Brookings,OR,
Brownsville,OR,
Brush Prairie,WA,
Burbank,WA,
Caldwell,ID,
Camas,WA,
Cannon Beach,OR,
Canyonville,OR,
Carlton,OR,
Carson,WA,
Cascade Locks,OR,
Cashmere,WA,
Castle Rock,WA,
Cathlamet,WA,
Cave Junction,OR,
Centerville,WA,
Central Point,OR,
Centralia,WA,
Chehalis,WA,
Chelan,WA,
Cheney,WA,
Cheshire,OR,
Chewelah,WA,
Chiloquin,OR,
Clarkston,WA,
Clatskanie,OR,
Cle Elum,WA,
Coeur d'Alene,ID,
College Place,WA,
Condon,OR,
Coos Bay,OR,
Coquille,OR,
Corvallis,OR,
Cottage Grove,OR,
Creswell,OR,
Culver,OR,
Dallas,OR,
Dallesport,WA,
Davenport,WA,
Dayton,WA,
Dayton,OR,
Deer Park,WA,
Depoe Bay,OR,
Depoe Bay,OR,
Donald,OR,
Donnelly,ID,
Dover,ID,
Drain,OR,
Eagle Point,OR,
Elkton,OR,
Ellensburg,WA,
Elmira,OR,
Emmett,ID,
Ephrata,WA,
Estacada,OR,
Eugene,OR,
Fairfield,WA,
Falls City,OR,
Florence,OR,
Forest Grove,OR,
Fruitland,ID,
Gaston,OR,
Gates,OR,
Gervais,OR,
Glendale,OR,
Glide,OR,
Gold Beach,OR,
Gold Hill,OR,
Goldendale,WA,
Grandview,WA,
Granger,WA,
Grants Pass,OR,
Greenleaf,ID,
Gresham,OR,
Halsey,OR,
Harrisburg,OR,
Harrison,ID,
Hauser,ID,
Hayden,ID,
Hermiston,OR,
Hillsboro,OR,
Homedale,ID,
Hood River,OR,
Horseshoe Bend,ID,
Idaho City,ID,
Irrigon,OR,
Junction City,OR,
Kalama,WA,
Kelso,WA,
Kennewick,WA,
Keno,OR,
Klamath Falls,OR,
Kuna,ID,
La Center,WA,
La Pine,OR,
Lake Oswego,OR,
Leavenworth,WA,
Lebanon,OR,
Lewiston,ID,
Liberty Lake,WA,
Lincoln City,OR,
Longview,WA,
Loon Lake,WA,
Lowell,OR,
Lyle,WA,
Lyons,OR,
Mabton,WA,
Madras,OR,
Manson,WA,
Manzanita,OR,
Marsing,ID,
Mattawa,WA,
McCall,ID,
McMinnville,OR,
Mead,WA,
Medford,OR,
Medical Lake,WA,
Melba,ID,
Meridian,ID,
Merlin,OR,
Mesa,WA,
Middleton,ID,
Millwood,WA,
Milton Freewater,OR,
Molalla,OR,
Monmouth,OR,
Monroe,OR,
Moscow,ID,
Moses Lake,WA,
Mosier,OR,
Mount Hood,OR,
Mountain Home,ID,
Moxee,WA,
Mulino,OR,
Myrtle Creek,OR,
Naches,WA,
Nampa,ID,
Napavine,WA,
New Plymouth,ID,
Newberg,OR,
Newport,OR,
Newport,WA,
North Bend,OR,
North Bonnevile,WA,
Oakridge,OR,
Ocean Park,WA,
Odell,OR,
Okanogan,WA,
Omak,WA,
Onalaska,WA,
Oregon City,OR,
Oroville,WA,
Othello,WA,
Outlook,WA,
Pacific Beach,WA,
Palouse,WA,
Parkdale,OR,
Parma,ID,
Pasco,WA,
Pateros,WA,
Payette,ID,
Pendleton,OR,
Philomath,OR,
Ponderay,ID,
Portland,OR,
Post Falls,ID,
Potlatch,ID,
Prescott,WA,
Prineville,OR,
Prosser,WA,
Pullman,WA,
Quincy,WA,
Rathdrum,ID,
Redmond,OR,
Richland,WA,
Ridgefield,WA,
Rock Island,WA,
Rockaway Beach,OR,
Rockford,WA,
Rosalia,WA,
Roseburg,OR,
Royal City,WA,
Salem,OR,
Sandpoint,ID,
Scappoose,OR,
Scio,OR,
Scotts Mills,OR,
Seaside,OR,
Selah,WA,
Shady Cove,OR,
Sheridan,OR,
Silverton,OR,
Sisters,OR,
Soap Lake,WA,
Spangle,WA,
Spirit Lake,ID,
Spokane,WA,
Spokane Valley,WA,
Springfield,OR,
St Helens,OR,
St John,WA,
Stanfield,OR,
Star,ID,
Stayton,OR,
Stevenson,WA,
Sunnyside,WA,
Sutherlin,OR,
Sweet Home,OR,
Talent,OR,
